omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
ROCK1,KiRHub,top_15_average_precision,0.6,0.02853636775987478
SRC,DAVIS,continuous_spearman,0.55,0.055758753929968485
SRC,DAVIS,top_5_roc_auc,0.55,0.07064471879286693
SRC,DAVIS,top_5_average_precision,0.55,0.08596444675175313
SRC,DAVIS,top_10_roc_auc,0.55,0.06463326071169206
SRC,DAVIS,top_10_average_precision,0.55,0.07190784283588958
SRC,DAVIS,top_15_roc_auc,0.55,0.06498673740053051
SRC,DAVIS,top_15_average_precision,0.55,0.06362379243295341
SRC,PKIS2,continuous_spearman,0.55,0.04151246790025681
SRC,PKIS2,top_5_roc_auc,0.55,0.04732510288065839
SRC,PKIS2,top_5_average_precision,0.55,0.04894825896585933
SRC,PKIS2,top_10_roc_auc,0.55,0.03413217138707336
