null_repetition,panel,fixed_experimental_endpoint,raw_docking_concordance,centered_docking_concordance,centered_minus_raw_docking
27,KiRHub,two_way_centered_experimental_target_geometry,-0.10258193476710976,-0.07422307951379323,0.028358855253316537
28,DAVIS,raw_experimental_target_geometry,-0.08233760666937852,-0.03436951891071484,0.04796808775866368
28,DAVIS,two_way_centered_experimental_target_geometry,-0.05687429743643577,-0.003116867211659166,0.0537574302247766
28,PKIS2,raw_experimental_target_geometry,0.010127412772769621,-0.0738591679897825,-0.08398658076255211
28,PKIS2,two_way_centered_experimental_target_geometry,-0.08722241904936863,-0.04372624405691366,0.04349617499245497
28,PKIS1,raw_experimental_target_geometry,-0.11775949472284551,-0.07837307054722321,0.0393864241756223
28,PKIS1,two_way_centered_experimental_target_geometry,-0.14936381092346926,-0.09307474620232957,0.05628906472113969
28,KiRHub,raw_experimental_target_geometry,-0.0590962572224628,0.006992175027446453,0.06608843224990925
28,KiRHub,two_way_centered_experimental_target_geometry,-0.06128847423970048,-0.027108784176847006,0.03417969006285347
29,DAVIS,raw_experimental_target_geometry,0.09985259833702931,0.05369357075061126,-0.04615902758641805
29,DAVIS,two_way_centered_experimental_target_geometry,0.043259107629457595,0.05591378096200362,0.012654673332546024
29,PKIS2,raw_experimental_target_geometry,0.10981467630682293,-0.04216037475888675,-0.1519750510657097
29,PKIS2,two_way_centered_experimental_target_geometry,0.01687902128794937,0.005522532334326218,-0.011356488953623152
29,PKIS1,raw_experimental_target_geometry,0.09384980776548703,-0.005816460872950265,-0.09966626863843729
29,PKIS1,two_way_centered_experimental_target_geometry,-0.07450301145533993,-0.059507407261609524,0.014995604193730402
29,KiRHub,raw_experimental_target_geometry,0.1069628696523158,0.07005209358474722,-0.03691077606756858
29,KiRHub,two_way_centered_experimental_target_geometry,0.0289405888193433,0.03604911055999511,0.007108521740651807
30,DAVIS,raw_experimental_target_geometry,0.04703818884033819,0.027430705909625725,-0.019607482930712464
30,DAVIS,two_way_centered_experimental_target_geometry,-0.055045991943208805,-0.01684927851916003,0.038196713424048775
30,PKIS2,raw_experimental_target_geometry,-0.015612329252450497,-0.07391340480345716,-0.058301075551006665
30,PKIS2,two_way_centered_experimental_target_geometry,-0.05917498808102281,-0.03896740105061958,0.020207587030403235
30,PKIS1,raw_experimental_target_geometry,-0.06274936905964738,-0.04216387390815608,0.0205854951514913
30,PKIS1,two_way_centered_experimental_target_geometry,-0.12109593355115537,-0.09135491433645195,0.02974101921470343
30,KiRHub,raw_experimental_target_geometry,-0.09133741859010529,-0.023691864915342458,0.06764555367476283
30,KiRHub,two_way_centered_experimental_target_geometry,-0.10579940252026226,-0.05941118065670284,0.046388221863559426
31,DAVIS,raw_experimental_target_geometry,0.02013847883233389,0.03943278790344098,0.019294309071107088
31,DAVIS,two_way_centered_experimental_target_geometry,-0.051685059070013604,0.006862706504481099,0.0585477655744947
31,PKIS2,raw_experimental_target_geometry,-0.04779400508251432,-0.1126157452969247,-0.06482174021441037
31,PKIS2,two_way_centered_experimental_target_geometry,-0.04548631613938862,-0.005419307430880867,0.040067008708507754
31,PKIS1,raw_experimental_target_geometry,-0.02082781123839267,-0.029444466314127383,-0.008616655075734714
31,PKIS1,two_way_centered_experimental_target_geometry,-0.0647543815909757,-0.03104532710484764,0.03370905448612806
31,KiRHub,raw_experimental_target_geometry,-0.054549112746963405,-0.012557571940322011,0.04199154080664139
31,KiRHub,two_way_centered_experimental_target_geometry,-0.05705625319844113,-0.013031706666316752,0.044024546532124384
32,DAVIS,raw_experimental_target_geometry,0.04215862518425208,0.06283159906747672,0.020672973883224643
32,DAVIS,two_way_centered_experimental_target_geometry,-0.003115117637024499,0.058662362713065394,0.06177748035008989
32,PKIS2,raw_experimental_target_geometry,0.1301517318601915,-0.02861341836266058,-0.15876515022285206
32,PKIS2,two_way_centered_experimental_target_geometry,0.022195978602702223,0.035569727110096365,0.013373748507394142
32,PKIS1,raw_experimental_target_geometry,0.09502902106925254,0.019008253618339042,-0.07602076745091349
32,PKIS1,two_way_centered_experimental_target_geometry,-0.06048366990775369,-0.01310168965170343,0.047381980256050255
32,KiRHub,raw_experimental_target_geometry,0.14889142577210918,0.07874747951904194,-0.07014394625306723
32,KiRHub,two_way_centered_experimental_target_geometry,0.015901009067170544,0.04145879533038531,0.025557786263214765
33,DAVIS,raw_experimental_target_geometry,0.05745165706587586,0.08728540373621665,0.029833746670340798
33,DAVIS,two_way_centered_experimental_target_geometry,0.09018969762976377,0.10818057359804399,0.017990875968280223
