dataset,fold,pilot_ligands,panel_k,panel_selector,random_panel_draw,panel_indices,selected_targets,omitted_targets,training_outcome,surface,predictor,target_index,target,r2,rmse,pearson,spearman,equal_budget_lower_5pct_overlap,calibration_lower_5pct_threshold,calibration_threshold_true_count,calibration_threshold_predicted_count,calibration_threshold_true_positive
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,22,ROCK1,0.26530612961440603,0.87095162989798436,0.51578498877874723,0.50700135427553372,0.28666666666666668,-1.9481354845952985,123,5,3
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,23,AKT1,0.4020564880805988,0.80897228035412994,0.63673953090059676,0.64518197666657617,0.35333333333333333,-1.7385866825253382,214,11,8
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,25,CDK2,0.11514525046617463,0.91400788007577727,0.3502825037400259,0.35320137836128307,0.16666666666666666,-1.8899074700495777,103,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,26,CSF1R,0.092670555596923165,0.94860753423133459,0.30446674681205671,0.28398823562618175,0.23333333333333334,-1.7399976108374731,128,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,27,ESR1,0.060512386262315809,0.98822215641057598,0.2668427356481553,0.28568141170519445,0.11333333333333333,-1.5605285130848345,184,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,28,NR3C1,0.30230288715350395,0.86612155148100523,0.55037468938327472,0.37207617081665262,0.14000000000000001,-1.1012435107798766,142,9,2
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,29,IGF1R,0.051870491603436375,0.91345968929399601,0.24631946569974908,0.25709705468622956,0.14666666666666667,-1.7189092842353502,106,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,30,JAK2,0.099998549655257896,0.91054925364505601,0.3259776345826042,0.30772876948449213,0.24666666666666667,-1.8299131709703902,142,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,31,LCK,0.36067724054557682,0.77006631780176205,0.60261754376980536,0.53592224122156162,0.47999999999999998,-1.8289965484228692,141,33,23
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,32,MET,0.076084934829974582,0.93042904857761988,0.27873928288787658,0.28868943580061263,0.08666666666666667,-1.70773326047073,111,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,33,MMP13,0.1769971455121917,0.90229341453688072,0.4208802315626376,0.38764790077269834,0.16,-1.680397066151591,132,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,35,PPARA,0.10974987055309737,0.9699340960657844,0.33307696410714727,0.28604448738097971,0.16666666666666666,-1.5041289164226672,165,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,36,PPARG,0.078824115060246891,1.0391394230102968,0.29123600429573199,0.27166933171241714,0.16666666666666666,-1.5505311083576292,253,0,0
DOCKSTRING-58,4,500,8,fixed_random_panel,1,0|2|20|24|34|44|51|54,8,50,raw_then_derived_residual,raw_row_centered_residual,multivariate_ridge_gcv,37,REN,0.31114510628051495,0.77704848635108981,0.56459610609398803,0.54140036656798973,0.28666666666666668,-1.9737916310159975,101,10,4
