dataset,fold,pilot_ligands,panel_k,surface,selector,metric,higher_is_better,designed_value,random_median,designed_minus_random_median,fraction_random_panels_no_worse,selected_panel_pc1_value,ridge_minus_selected_pc1,descriptor_only_value,ridge_minus_descriptor_only,random_panels
DOCKSTRING-58,3,500,4,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.6618268345016702,0.6610505439080482,0.0007762905936220532,0.48,0.35216796092432556,0.3096588735773447,0.4632516802748917,0.19857515422677852,50
DOCKSTRING-58,3,500,4,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6383576707319979,0.6610505439080482,-0.022692873176050288,0.94,0.4544766603249011,0.1838810104070968,0.4632516802748917,0.17510599045710618,50
DOCKSTRING-58,3,500,4,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.22575789572658644,0.17060539918086964,0.0551524965457168,0.0,0.06631767800495991,0.15944021772162653,0.15088556885192161,0.07487232687466483,50
DOCKSTRING-58,3,500,4,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.18194055847801405,0.17060539918086964,0.011335159297144404,0.34,0.06366187039657578,0.11827868808143827,0.15088556885192161,0.031054989626092433,50
DOCKSTRING-58,3,500,6,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.71451297400454,0.7005210049742383,0.013991969030301643,0.1,0.6452492622238556,0.06926371178068436,0.4632516802748917,0.2512612937296482,50
DOCKSTRING-58,3,500,6,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.6694588365263736,0.7005210049742383,-0.03106216844786469,0.98,0.26035664089562216,0.40910219563075145,0.4632516802748917,0.2062071562514819,50
DOCKSTRING-58,3,500,6,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.27429519512204237,0.2292423841042172,0.045052811017825156,0.0,0.14582640611463393,0.12846878900740843,0.15088556885192161,0.12340962627012075,50
DOCKSTRING-58,3,500,6,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.2321343536914362,0.2292423841042172,0.00289196958721899,0.42,0.07483473266941787,0.15729962102201833,0.15088556885192161,0.08124878483951459,50
DOCKSTRING-58,3,500,8,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7412616526381621,0.7239750457867486,0.017286606851413477,0.12,0.6865517309317057,0.05470992170645639,0.4632516802748917,0.2780099723632704,50
DOCKSTRING-58,3,500,8,raw,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.7360983166977153,0.7239750457867486,0.012123270910966655,0.22,0.4956082104570263,0.240490106240689,0.4632516802748917,0.2728466364228236,50
DOCKSTRING-58,3,500,8,raw_row_centered_residual,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.30919724017145533,0.27648845215734696,0.03270878801410837,0.0,0.187170912645662,0.12202632752579334,0.15088556885192161,0.15831167131953372,50
DOCKSTRING-58,3,500,8,raw_row_centered_residual,pilot_raw_correlation_pivoted_qr,full_profile_variance_weighted_r2,True,0.29862777814178265,0.27648845215734696,0.022139325984435687,0.06,0.1270131076666735,0.17161467047510914,0.15088556885192161,0.14774220928986104,50
DOCKSTRING-58,3,500,10,raw,pilot_residual_r2_exact_kmedoids,full_profile_variance_weighted_r2,True,0.7617052467312159,0.7486749124606566,0.013030334270559218,0.1,0.7092158232019388,0.0524894235292771,0.4632516802748917,0.29845356645632415,50
