dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
LCK,19,5,0.521306048695837,KiRHub,locked_no_retuning_evaluation,18,171,0.433458132334941,0.727668845315904,0.241805107394393,0.429646962824297,-0.00381116951064397,0.717501815541031,-0.0101670297748729,0.194566724952455,-0.0472383824419373,0.423848609211126,-0.00960952312381513,0.72476397966594,-0.00290486564996373,0.215608026268454,-0.0261970811259383
MAP2K1,19,5,0.523430242120262,PKIS1,post_hoc_discovery,18,171,0.153329973360213,0.696441539578795,0.326551549722759,0.201427988576091,0.0480980152158783,0.722585330428468,0.0261437908496732,0.33708837992177,0.0105368301990108,0.172685818513452,0.0193558451532388,0.717501815541031,0.0210602759622367,0.390107455128021,0.0635559054052618
MAP2K1,19,5,0.523430242120262,DAVIS,locked_no_retuning_evaluation,18,171,0.297379220966232,0.746187363834423,0.369374584000031,0.349994000048,0.0526147790817673,0.788307915758896,0.0421205519244735,0.416124796385188,0.0467502123851563,0.312914296685627,0.0155350757193943,0.766158315177923,0.0199709513435004,0.387416077047356,0.0180414930473242
MAP2K1,19,5,0.523430242120262,PKIS2,locked_no_retuning_evaluation,18,171,0.292900856793146,0.710239651416122,0.318318054862243,0.33656370749034,0.0436628506971944,0.725490196078431,0.0152505446623094,0.28075799853258,-0.0375600563296627,0.303887968896249,0.0109871121031032,0.714960058097313,0.004720406681191,0.328584687779346,0.0102666329171032
MAP2K1,19,5,0.523430242120262,KiRHub,locked_no_retuning_evaluation,18,171,0.308483932128543,0.781771968046478,0.327777104505207,0.374586603307174,0.0661026711786306,0.83042846768337,0.0486564996368918,0.36032062781894,0.0325435233137338,0.338721290229678,0.0302373581011352,0.808641975308642,0.0268700072621642,0.367927961126929,0.0401508566217223
MAPK1,19,5,0.531633407438254,PKIS1,post_hoc_discovery,18,171,0.156680346557228,0.690631808278867,0.328539465167671,0.180958552331581,0.0242782057743538,0.693173565722585,0.00254175744371832,0.281426756173404,-0.0471127089942668,0.175908992728058,0.0192286461708306,0.701161946259986,0.0105301379811185,0.34492738209614,0.0163879169284685
MAPK1,19,5,0.531633407438254,DAVIS,locked_no_retuning_evaluation,18,171,0.276129790961672,0.761437908496732,0.353250830124245,0.304603163174695,0.0284733722130224,0.804284676833696,0.0428467683369644,0.390435133091929,0.0371843029676838,0.286370509035928,0.0102407180742555,0.784676833696442,0.0232389251997096,0.363933631779211,0.0106828016549654
MAPK1,19,5,0.531633407438254,PKIS2,locked_no_retuning_evaluation,18,171,0.287385700914393,0.745461147421932,0.332151744388183,0.304948760409917,0.017563059495524,0.764705882352941,0.0192447349310094,0.337022603128231,0.00487085874004889,0.290253677970576,0.00286797705618358,0.755265068990559,0.00980392156862753,0.339104194779292,0.00695245039110975
MAPK1,19,5,0.531633407438254,KiRHub,locked_no_retuning_evaluation,18,171,0.325043799649603,0.774146695715323,0.32599192170032,0.367830657354741,0.0427868577051383,0.832970225127088,0.0588235294117647,0.398636667349218,0.072644745648898,0.348986008111935,0.0239422084623324,0.806826434277415,0.0326797385620915,0.346953413635932,0.0209614919356128
MAPK14,19,5,0.529740453842526,PKIS1,post_hoc_discovery,18,171,0.193229654162767,0.652142338416848,0.245958809349878,0.213761489908081,0.020531835745314,0.665214233841685,0.0130718954248367,0.226913966172532,-0.0190448431773461,0.215295077639379,0.0220654234766122,0.677196804647785,0.0250544662309369,0.256750673924503,0.0107918645746252
