chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,clogp,-0.12970088551045861,-0.14659350274897048,1,4
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,rotatable_bonds,-0.12059519623345978,-0.18284823907774098,2,1
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2rh1,ADRB2,ring_count,-0.29024991753420593,-0.18874506791533474,1,3
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,heavy_atoms,-0.33261702144433519,-0.25020010802860193,1,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,molecular_weight,-0.30410805291549697,-0.23454004351833968,1,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,labute_asa,-0.32952186794059446,-0.24614277652031308,1,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,tpsa,-0.20507213525121795,-0.10961732515301163,1,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,clogp,-0.11059743944465866,-0.17967203874221466,4,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,rotatable_bonds,-0.13623769279928252,-0.14361198364787903,1,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2vt4,ADRB1,ring_count,-0.28721680169131447,-0.20222304233149377,2,2
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,heavy_atoms,0.00041998929163662138,-0.04636876297849591,6,5
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,molecular_weight,0.033437339034359193,-0.030680922858180273,6,5
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,labute_asa,0.0068468885087558454,-0.04336688442972856,6,5
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,tpsa,0.10277661510859613,0.062250335920650136,6,6
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,clogp,-0.12008056645891521,-0.15167664479235629,3,3
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,rotatable_bonds,0.021121715185117379,0.044640486926106476,6,5
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,2ydo,ADORA2A,ring_count,-0.067996313980719786,-0.12179574052943989,4,5
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,heavy_atoms,0.47952344536702218,0.77936201348835854,9,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,molecular_weight,0.41476431669506714,0.75136592749425901,9,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,labute_asa,0.47110705722060742,0.77327381586514821,9,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,tpsa,0.22819345529737364,0.348034767563,8,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,clogp,0.16444842031139681,0.43778311774600676,9,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,rotatable_bonds,0.087518415906015057,0.33422676158221898,7,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3b66,AR,ring_count,0.53521086640172177,0.65946593904650519,9,9
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3ln1,PTGS2,heavy_atoms,0.4400771668403613,0.44443071379738652,8,8
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3ln1,PTGS2,molecular_weight,0.4083452944096333,0.43504133457584188,8,8
connectivity_disjoint,all_9_mapped_targets,unscaled_two_way_residual,12600,14949,9,3ln1,PTGS2,labute_asa,0.44222059458197849,0.44576065073169818,8,8
