calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
200,138,empirical,5,0.517672716754124,0.927810800999007,5,0.701391217792105,0.135174550309994,82.231286595162,0.69752380952381,0.251299494761879,0.683809523809524,0.24823698385509,0.689142857142857,0.236272160076924,0.683809523809524,0.24823698385509,0.689142857142857,0.236272160076924
200,138,OAS,6,0.54837635796041,0.928550871069471,5,0.701995327451224,0.144773070111714,81.6758615938747,0.696,0.251620243630071,0.741333333333333,0.272849843175977,0.746666666666667,0.25963618374763,0.684190476190476,0.250264374817491,0.689904761904762,0.242696433330556
200,139,empirical,5,0.54545377501343,0.924761292410783,5,0.762438498200691,0.219934364563046,77.2948220599243,0.721904761904762,0.214858434955543,0.72,0.214214042032093,0.719238095238095,0.25425255766223,0.72,0.214214042032093,0.719238095238095,0.25425255766223
200,139,OAS,5,0.521318427827856,0.923636315920692,5,0.76304299479195,0.239940553554317,76.1169681868034,0.722666666666667,0.211438282335614,0.723428571428571,0.206785405873398,0.721904761904762,0.254536836291144,0.723428571428571,0.206785405873398,0.721904761904762,0.254536836291144
200,140,empirical,5,0.543465667752451,0.922997721179038,5,0.860549724706035,0.821228837237491,34.7920050747251,0.727238095238095,0.247743966584337,0.730285714285714,0.261592736249671,0.732190476190476,0.229049957435041,0.730285714285714,0.261592736249671,0.732190476190476,0.229049957435041
200,140,OAS,5,0.517559287305213,0.9237780314661,5,0.860985543678149,0.823392714903608,34.5741260257409,0.728,0.249177071196882,0.735238095238095,0.263902321227533,0.733333333333333,0.229999532883373,0.735238095238095,0.263902321227533,0.733333333333333,0.229999532883373
200,141,empirical,5,0.560988979860319,0.908189321471217,5,0.853469763029973,0.746443168494709,41.7167936259277,0.69752380952381,0.349967126954424,0.701714285714286,0.358161157082313,0.701714285714286,0.318550299917947,0.701714285714286,0.358161157082313,0.701714285714286,0.318550299917947
200,141,OAS,5,0.532883004322324,0.909732446298994,5,0.858599116577173,0.763747998380065,40.204263346429,0.697142857142857,0.354241623647079,0.703238095238095,0.368610865265693,0.704380952380952,0.31899618876601,0.703238095238095,0.368610865265693,0.704380952380952,0.31899618876601
200,142,empirical,5,0.531147678363526,0.916475306941,5,0.758077909234796,0.589471444752079,53.8804907158365,0.741333333333333,0.32095176432664,0.711238095238095,0.29415990498544,0.707047619047619,0.192512455562829,0.711238095238095,0.29415990498544,0.707047619047619,0.192512455562829
200,142,OAS,5,0.50602035077723,0.917215377011464,5,0.760684778516022,0.593146838042974,53.6193631670319,0.741714285714286,0.325626285920404,0.708952380952381,0.297722148598027,0.707809523809524,0.192490295617246,0.708952380952381,0.297722148598027,0.707809523809524,0.192490295617246
