deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
FGFR1,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5366935101430893,151,10606
FGFR1,roc_auc,,column_standardized,0.5776474088176025,123,5038
FGFR1,average_precision,,column_standardized,0.31977104972464104,123,5038
FGFR1,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5067217713439812,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5084770178901601,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5085900242613589,154,14951
FGFR1,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5064995218220025,151,10606
FGFR1,roc_auc,,target_centered_residual_scaled,0.5474779234800566,123,5038
FGFR1,average_precision,,target_centered_residual_scaled,0.29492332181349923,123,5038
FGFR1,pairwise_concordance,exact_non_ties,two_way_residual,0.5197909989355096,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5248114912589883,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.5258844299796297,154,14951
FGFR1,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5338645565776517,151,10606
FGFR1,roc_auc,,two_way_residual,0.575059928552434,123,5038
FGFR1,average_precision,,two_way_residual,0.3017655089993069,123,5038
FGFR1,pairwise_concordance,exact_non_ties,docking_target_prior,0.49951508116182664,154,22433
FGFR1,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.4963363986786238,154,18239
FGFR1,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.5047958855830657,154,14951
FGFR1,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.5134996353125394,151,10606
FGFR1,roc_auc,,docking_target_prior,0.44882551646644,123,5038
FGFR1,average_precision,,docking_target_prior,0.21572452079110882,123,5038
IGF1R,pairwise_concordance,exact_non_ties,absolute_vina,0.5090851913948228,154,22552
IGF1R,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5129387165585978,154,18365
IGF1R,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5180945606849955,154,15128
IGF1R,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5358639657286901,151,10752
IGF1R,roc_auc,,absolute_vina,0.5427091107160059,123,5093
IGF1R,average_precision,,absolute_vina,0.2768611328524839,123,5093
IGF1R,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5199066519767118,154,22552
IGF1R,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5235524690934168,154,18365
IGF1R,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5245703528151076,154,15128
IGF1R,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5366501229052628,151,10752
IGF1R,roc_auc,,target_centered_unscaled,0.571818571995977,123,5093
IGF1R,average_precision,,target_centered_unscaled,0.3071679473071418,123,5093
IGF1R,pairwise_concordance,exact_non_ties,column_standardized,0.5202202523920723,154,22552
IGF1R,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5239347671216797,154,18365
IGF1R,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5252488029672168,154,15128
IGF1R,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5373189162601206,151,10752
IGF1R,roc_auc,,column_standardized,0.5742764072191412,123,5093
IGF1R,average_precision,,column_standardized,0.3115009981403683,123,5093
IGF1R,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5057414581247669,154,22552
IGF1R,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5063963983416294,154,18365
IGF1R,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5066585248312878,154,15128
IGF1R,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5096633395725433,151,10752
IGF1R,roc_auc,,target_centered_residual_scaled,0.5484016755036349,123,5093
IGF1R,average_precision,,target_centered_residual_scaled,0.2891397011780594,123,5093
