dataset,target,family,molecular_weight_raw_slope,molecular_weight_residual_slope,molecular_weight_residual_correlation,heavy_atoms_raw_slope,heavy_atoms_residual_slope,heavy_atoms_residual_correlation,rotatable_bonds_raw_slope,rotatable_bonds_residual_slope,rotatable_bonds_residual_correlation,imputed_cells,imputed_fraction,conditional_mw_slope_per_100_da,conditional_rotatable_bond_slope,residual_pc1_loading
DOCKSTRING-58,AKT2,Kinase,-0.5516242320689938,-0.15915868167300184,-0.31107544353154115,-0.08532620052213184,-0.022948653051810736,-0.3197503609822041,-0.018175148211910824,-0.006946716091686765,-0.04241090486178822,0,0.0,-0.9435176706480903,0.18579325622684872,-0.11270115639638416
DOCKSTRING-58,MAOB,Other enzyme,1.1525754864554696,1.5450410368514613,0.6913475639820094,0.16175979519110545,0.22413734266142663,0.7149720823505802,0.20881780039676415,0.22004623251698804,0.3075621924027558,0,0.0,1.3090023105724202,-0.07416059099965673,0.24181763680426577
DOCKSTRING-58,CASP3,Protease,-0.5616550832186049,-0.1691895328226123,-0.3192419533330221,-0.08414715614587198,-0.02176960867555076,-0.29282998015165995,-0.0326066467024918,-0.021378214582267352,-0.1260028861609094,0,0.0,-0.9060012402218645,0.1632515053347212,-0.16321671512081962
DOCKSTRING-58,DHFR,Other enzyme,-0.4435544914890166,-0.051088941093024295,-0.0869701903132241,-0.0704867474578334,-0.008109199987512236,-0.09841016901058908,-0.0030096034755204885,0.00821882864470354,0.04370348178013073,0,0.0,-0.8036665065615357,0.17072596093805656,-0.09502767945867394
DOCKSTRING-58,ESR2,Nuclear receptor,-0.14054794648712554,0.25191760390886697,0.3391738498750563,-0.026526819582490344,0.03585072788783077,0.34409651116659395,0.020971848204737267,0.03220028032496145,0.1354210227507783,0,0.0,-0.3396670301936768,0.09440061837442518,0.11148376305148279
DOCKSTRING-58,PTK2,Kinase,-0.40113195257588813,-0.008666402179895545,-0.018440531555728664,-0.06405250321347086,-0.001674955743149653,-0.025407175062259896,0.004337661808251169,0.015566093928475374,0.10346103906783785,0,0.0,-0.754173420202861,0.16737387615200527,-0.04843360943592011
DOCKSTRING-58,FGFR1,Kinase,-0.30143197614837297,0.09103357424761954,0.1336404345878542,-0.049771670204551886,0.012605877265769198,0.13192521371212318,0.003272042771637239,0.014500474891861296,0.06649379236685368,0,0.0,-0.5667746280557169,0.12579663362693097,0.09574633425533431
DOCKSTRING-58,HMGCR,Other enzyme,-0.4521645787228869,-0.05969902832689432,-0.11252131043040293,-0.06924226866840011,-0.006864721198078981,-0.09223778598842364,-0.011009196876775955,0.00021923524344817004,0.0012907450928145382,0,0.0,-0.7884767621798883,0.15944266864939205,-0.09603548360010657
DOCKSTRING-58,HSP90AA1,Chaperone,-0.3990782065799637,-0.006612656183971711,-0.010807593507963892,-0.06544014096064636,-0.003062593490325198,-0.03568295905100119,-0.017558609185266288,-0.006330177065042416,-0.03231703509732065,0,0.0,-0.6655002212010876,0.12630835006181182,-0.015473765195224958
DOCKSTRING-58,KIT,Kinase,-0.3392067370343595,0.05325881336163335,0.0906111356908077,-0.0562794839491494,0.006098063521171778,0.07396060912838073,0.0012476529414622494,0.012476085061686286,0.06630266847845895,0,0.0,-0.6283625273887319,0.13708623456818578,0.05696417033924306
DOCKSTRING-58,MAPKAPK2,Kinase,-0.4894681198186341,-0.09700256942264145,-0.23447464597128112,-0.0753122202443958,-0.012934672774074634,-0.2228879267015737,-0.0207732172811848,-0.009544785160960748,-0.07206782262950373,0,0.0,-0.8191897364250651,0.15631813847101547,-0.09958167493875836
DOCKSTRING-58,MAP2K1,Kinase,-0.6954528658286859,-0.3029873154326935,-0.5317388204850656,-0.1053208307344644,-0.0429432832641434,-0.5372638426205908,-0.05863939066116895,-0.047410958540944924,-0.2599053679986152,0,0.0,-1.0510101238458998,0.1685665904017813,-0.18626786429607958
DOCKSTRING-58,NOS1,Other enzyme,-0.48056818711966853,-0.08810263672367549,-0.15693904513052281,-0.07450321377364248,-0.012125666303321346,-0.15398065390147903,-0.04174929893735453,-0.03052086681713063,-0.16982497382941955,0,0.0,-0.721499808074552,0.11422357707115856,-0.026487689532528245
DOCKSTRING-58,PARP1,Other enzyme,-0.7362848763743169,-0.3438193259783252,-0.5239606465985093,-0.11197877386545806,-0.0496012263951369,-0.538864094705907,-0.038336778653512406,-0.027108346533288284,-0.1290428678680922,0,0.0,-1.2047859136560932,0.22211224964071344,-0.2269235359119545
