analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,MAPK14,0.20745194038447695
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,MAPKAPK2,0.1558451532387741
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,MET,0.2007703938368493
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,PLK1,0.15719874241006074
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,ROCK1,0.17805937552499582
geometry_concordance,PKIS1,full_experimental_panel,rank_normal_before_center,SRC,0.27880816953464377
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,ABL1,0.015198423867154517
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,AKT1,-0.04319622585876456
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,AKT2,-0.022707168991998712
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,CDK2,0.00861109994236929
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,CSF1R,0.04530711806253602
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,EGFR,0.03373406778979534
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,FGFR1,0.07305362336322087
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,IGF1R,0.01781861069786766
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,JAK2,-0.0036655810649618694
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,KDR,-0.024121131706271025
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,KIT,0.019426909519788774
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,LCK,0.020080280916194224
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,MAP2K1,0.011338506694543848
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,MAPK14,-0.004107863240990176
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,MET,0.019269430260142332
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,PLK1,0.0021812552772305094
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,PTK2,-0.008463672550359857
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,ROCK1,-0.05978180745982603
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,raw,SRC,0.019125353490678565
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,ABL1,0.2236775092812244
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,AKT1,0.2088141476686368
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,AKT2,0.24771152480130804
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,CDK2,0.22479996783402356
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,CSF1R,0.27632919196386685
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,EGFR,0.26264860010990043
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,FGFR1,0.27937825848042563
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,IGF1R,0.25227172208596355
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,JAK2,0.2606616809403187
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,KDR,0.20346990470829476
geometry_concordance,DAVIS,targets_with_at_least_5_uncensored_DAVIS_ligands,center_then_correlation,KIT,0.1907609933925723
